"LITIGATION","PARTITION_SUFFIX","20100908"
"USED_MONTHLY_RETURN_SALES","FILE_NAME","out_of_print_monthly_returns_100110.txt"
"USED_MONTHLY_SHIPPED_SALES","FILE_NAME","out_of_print_monthly_sales_100110.txt"
"USED_MONTHLY_RETURN_SALES","ORDER_DATE","01-OCT-10"
"USED_MONTHLY_SHIPPED_SALES","ORDER_DATE","01-OCT-10"
"ATOMIC_PROFIT_ORDER_NUMBER","TIMESTMP","4927043410000"
"BOOKSCAN","BN_HEADER","9240000266520080815"
"BOOKSCAN","AOL_HEADER","9240000266620080815"
"BOOKSCAN","AOL_FOOTER","94  24907  24607"
"BOOKSCAN","BN_FOOTER","94 333912 330230"
"CUST_CASE_TO_ORDER_ZCUS","CHANGE_TIME","20101013192132"
"CUST_CASE_TO_ORDER_ZDEV","CHANGE_TIME","20101014132101"
"CUST_CASE_TO_ORDER_ZGEN","CHANGE_TIME","20101013162632"
"CUST_CASE_TO_ORDER_ZORD","CHANGE_TIME","20101014132309"
"SOUNDSCAN","BN_FOOTER","94  54264  54042"
"SOUNDSCAN","BN_HEADER","92400000460080815"
"BOOKSCAN","AOL_FILE_NAME","fb092608.txt"
"BOOKSCAN","BN_FILE_NAME","bn092608.txt"
"SOUNDSCAN","BN_FILE_NAME","bnMU0926.txt"
"BOOKSCAN","DEMAND_DATE","08/15/2008 23:59:40"
"SOUNDSCAN","DEMAND_DATE","08/15/2008 23:59:23"
"SOUNDSCAN","MAXQTY","130"
"BOOKSCAN","MAXQTY","600"
"BOOKSCAN","MAX_ROWNUM","327"
"SOUNDSCAN","MAX_ROWNUM","327"
"SHIPPED_SALES","BATCH_NUMBER","10/14/2010 23:59:43"
"DEMAND_SALES","BATCH_NUMBER","10/14/2010 22:59:56"
"USED_MONTHLY_CANCEL_SALES","FILE_NAME","out_of_print_monthly_cancels_100110.txt"
"USED_MONTHLY_CANCEL_SALES","ORDER_DATE","01-OCT-10"
"SHIPPED_SALES","YTD_SALES_AMT","1047841725.21"
"SHIPPED_SALES","YTD_SALES_QTY","79518151"
"DEMAND_SALES","YTD_SALES_AMT","974228118.57999999995749896"
"DEMAND_SALES","YTD_SALES_QTY","80872655"
"USED_DAILY_CANCEL_SALES","FILE_NAME","out_of_print_daily_cancels_101510.txt"
"USED_DAILY_CANCEL_SALES","ORDER_DATE","15-OCT-10"
"BOOKSCAN_V2","BN_HEADER","9240000266520101009"
"BOOKSCAN_V2","AOL_HEADER","9240000266620101009"
"BOOKSCAN_V2","AOL_FOOTER","94"
"BOOKSCAN_V2","BN_FOOTER","94 403473 399129"
"BOOKSCAN_V2","AOL_FILE_NAME","fb100910.txt"
"BOOKSCAN_V2","BN_FILE_NAME","bn100910.txt"
"BOOKSCAN_V2","DEMAND_DATE","10/09/2010 22:42:15"
"SOUNDSCAN_V2","BN_FOOTER","94  42289  40211"
"SOUNDSCAN_V2","BN_HEADER","92400000460101009"
"SOUNDSCAN_V2","BN_FILE_NAME","bnMU1009.txt"
"SOUNDSCAN_V2","DEMAND_DATE","10/09/2010 19:08:38"
"LOAD_SESSION","MAX_HIT_DELAY","360"
"LOAD_SESSION","MAX_SESSION_LENGTH","8"
"IIS_PROCESS_DATE","IIS_PROCESS_DATE","20101004"
"CUSTOMER_SURVEY","Z_OWB_KEY","20101014235958"
"SEEINSIDE_DBOOKVIEWLOG","LASTACCESSDATE","10/15/2010 01:01:47"
"SEEINSIDE_DBOOKPAGEVIEWLOG","LASTACCESSDATE","10/15/2010 01:01:48"
"BN_FILTER_SPIDER","CLK_USER_MEAN","12.77"
"BN_FILTER_SPIDER","CLK_USER_SD","48.854"
"BN_FILTER_SPIDER","CLK_USER_SD_MPL","10"
"BN_FILTER_SPIDER","IP_USER_MEAN","10.925"
"BN_FILTER_SPIDER","IP_USER_SD","1536.202"
"BN_FILTER_SPIDER","IP_USER_SD_MPL","1"
"BN_FILTER_SPIDER","IP_USER_RATIO",".955"
"CUST_CASE_TO_ORDER","CHANGE_TIME","20100623172539"
"ATOMIC_PROFIT_SALES_INFO","TIMESTMP","6551513040000"
"ATOMIC_CASE_INFO","CHANGE_TIME","20101015200031"
"CUST_CASE_TO_ORDER_BACK","CHANGE_TIME","20100829000000"
"USED_DAILY_RETURN_SALES","FILE_NAME","out_of_print_daily_returns_101510.txt"
"USED_DAILY_SHIPPED_SALES","FILE_NAME","out_of_print_daily_sales_101510.txt"
"USED_DAILY_RETURN_SALES","ORDER_DATE","15-OCT-10"
"USED_DAILY_SHIPPED_SALES","ORDER_DATE","15-OCT-10"
"DEMAND_SALES","DEMAND_DATE","11-OCT-07"
"DEMAND_SALES","FILE_NAME","BNCOM_SALESONLY_D_20101015"
"DEMAND_SALES","LOAD_DATE","201010150210"
"DEMAND_SALES","REC_COUNT","64681"
"SHIPPED_SALES","DEMAND_DATE","10/12/2007 00:00:00"
"SHIPPED_SALES","FILE_NAME","BNCOM_SALESONLY_S_20101015"
"SHIPPED_SALES","LOAD_DATE","201010150110"
"SHIPPED_SALES","REC_COUNT","69377"
