TimeStamp|StoreNumber|RegisterNumber|TransactionNumber|CustomerType|CustomerNumber|EmailAddress|RecommendedEans
2011-08-08 16:14:10.3907|9923|5|1734|Unknown|||9781890627065,9781890627355,9781890627683,9781561452194,9781890627577
2011-08-08 16:14:22.9379|9923|5|1734|Unknown|||9781890627065,9781890627355,9781890627683,9781561452194,9781890627577
2011-08-08 16:14:46.1258|9923|1|142|Member|5000010445||9780312421274,9781400066407,9780375714368,9780061537967,9780670021390
2011-08-08 16:15:02.7980|9923|1|142|Member|5000010445||9780312421274,9781400066407,9780375714368,9780061537967,9780670021390
2011-08-08 16:15:43.7675|9923|1|142|Member|5000010469||9780312421274,9781400066407,9780375714368,9780061537967,9780670021390
2011-08-08 16:32:16.0991|2346|14|6207|Unknown|0000000000||
2011-08-08 16:32:16.1616|2994|1|1437|Unknown|0000000000||9780760783443,9780760783450,9781593082680,9780553214444,9781593082864
2011-08-08 16:32:16.4585|2149|2|4109|Unknown|0000000000||9780439023511,9780385737944,9780399250569,9780547258300,9780803734616
2011-08-08 16:32:16.8022|2591|11|2846|Unknown|0000000000||786936808513,786936804256,786936814507,786936799224,786936788013
2011-08-08 16:32:16.9116|2074|5|1272|Unknown|0000000000||9780062081018,9780545259088,9780670012244,9780061976797,9780316027373
2011-08-08 16:32:17.0366|2039|2|3976|Unknown|0000000000||9781557255792,9780385520379,9781859840542,9781884479311,9781586173074
2011-08-08 16:32:17.2085|2107|4|3875|Unknown|0000000000||9781933354224,9780743451802,9780451226501,9780743296731,9780061807404
2011-08-08 16:32:17.3179|2673|12|8767|Unknown|0000000000||43396134942,97366220647,24543178606,97368516045,43396214507
2011-08-08 16:32:17.4741|2946|13|5741|Member|5221439484||
2011-08-08 16:32:18.4116|2911|4|5726|Unknown|0000000000||9780760785874,9780762754748,9781597140874,9781426205972,9781426203930
2011-08-08 16:32:18.4585|2944|14|6844|Member|5072550598||
2011-08-08 16:32:19.0366|2573|8|2808|Educator|7013599636||9780395416686,9780395486542,9781435129160,9780641758287,899251000125
2011-08-08 16:32:19.6148|2988|7|7198|Unknown|0000000000||
2011-08-08 16:32:20.0523|2228|1|3648|Member|5308827528||9780142414293,9780786837519,9780451526342,9780140360776,9780142413401
2011-08-08 16:32:20.3335|2695|6|5176|Unknown|0000000000||9780525951865,9781605500164,9781401323233,9780061673986,9780446407410
2011-08-08 16:32:20.5992|2566|3|1233|Member|5059024229||9780470887677,9781593081157,9780470382295,9781400004157,9780470537671
2011-08-08 16:32:20.6929|2046|10|2535|Member|5166159989||
2011-08-08 16:32:20.8961|2304|8|9100|Unknown|0000000000||696998020627,696998020221,696998020122,696998020825,696998020528
2011-08-08 16:32:20.9586|2792|12|5291|Unknown|0000000000||
2011-08-08 16:32:21.0679|2662|11|8073|Unknown|0000000000||
2011-08-08 16:32:21.3336|2854|6|7195|Unknown|0000000000||9789707709942,9789705800238,9781603960229,9781594378072,9788478886548
2011-08-08 16:32:21.3804|2990|2|9601|Unknown|0000000000||9780060527983,9780061124266,9780061537967,9781565125605,9780316296199
2011-08-08 16:32:21.6773|2932|4|5722|Unknown|9006044545||9780380720132,9780152061975,9780812981551,9781411427624,9781411498815
2011-08-08 16:32:21.9898|2944|8|7349|Unknown|0000000000||4005556115266,4005556097098,4005556114627,10563004902
2011-08-08 16:32:22.2555|2713|4|3474|Unknown|0000000000||9780312979737,9780441802630,9780345342966,9780451528018
2011-08-08 16:32:22.2711|2723|3|463|Unknown|0000000000||9780451462008,9780441018192,9780061138034
2011-08-08 16:32:22.4742|2048|3|2718|Unknown|0000000000||9780765329073,9780756406660,9780451463432,9781439182796,9780525951315
2011-08-08 16:32:23.2086|2979|8|6932|Educator|7003577862||9781421520643,9780641982996,9780976142508,9781421520667,9780641982989
2011-08-08 16:32:23.2399|2130|6|9930|Unknown|0000000000||
2011-08-08 16:32:23.2711|2884|12|2886|Member|5172598276||
2011-08-08 16:32:23.6305|2692|6|3659|Unknown|0000000000||9780974146508,9780965244848,9781599620756,9780740771125,9780440507178
2011-08-08 16:32:24.3805|2812|8|2936|Member|5236325193||
2011-08-08 16:32:24.6149|2232|10|176|Unknown|0000000000||
2011-08-08 16:32:24.9118|2972|4|3009|Educator|7011316688||9781588168092,9780446615877,9781593082291,9780446612524,9781933821887
2011-08-08 16:32:24.9430|2309|3|9126|Member|5212222622||9780736050630,9780471773818,9780736056298,9780071456289,9780071440929
2011-08-08 16:32:41.9277|2220|3|5771|Unknown|0000000000||9780786929085,9780786939954,9780786941865,9780786929443,9780786930333
2011-08-08 16:32:42.2871|2172|8|4894|Member|5170447930||733961718492,43396052840,733961730173,12236102496,733961730968
2011-08-08 16:32:42.4121|2198|10|3113|Unknown|0000000000||
2011-08-08 16:32:43.1777|2764|4|5693|Unknown|0000000000||
2011-08-08 16:32:43.2246|2741|6|3364|Unknown|0000000000||
2011-08-08 16:32:43.2715|2566|10|1623|Unknown|0000000000||
2011-08-08 16:32:43.5371|2315|7|6458|Employee|15904075995||9780760789803,9780760789810,9780760789834,9780071427913,9783836515580
2011-08-08 16:32:44.5996|2825|1|8762|Unknown|0000000000||9780061288869,9780545123280,9780061288876,9781442426641,9780385739160
2011-08-08 16:32:45.1309|1915|3|7269|Member|5028198768||9780470152638,9781595230744,9781586486914,9780307461353,9781594201677
2011-08-08 16:32:45.3184|2711|1|8348|Unknown|0000000000||
2011-08-08 16:32:45.7247|2902|4|4501|Unknown|0000000000||9780345502902,9781563897504,9780440243694,9780786022663,9781401209223
2011-08-08 16:32:46.1309|2347|13|1558|Unknown|0000000000||
2011-08-08 16:32:46.2715|2274|2|3476|Educator|7007085855||9781593591878,9780307406446,9781586994860
2011-08-08 16:32:46.3184|2783|6|6399|Unknown|9006518962||9781423108559,9781423121343,9780810984301,9780060892135,9780316014458
2011-08-08 16:32:46.5215|2281|7|1334|Unknown|0000000000||9781616813819,9781616813802,9781616837198,9781616837358
2011-08-08 16:32:49.3810|2217|3|7380|Unknown|0000000000||
2011-08-08 16:32:49.4435|2142|3|4554|Unknown|0000000000||
