STORE_ID,WEB_STORE_NAME,STORE_NAME,LAST_UPDATE_DT
1,Southdale Center,Southdale Center,9/29/2011
2,Northwest Plaza,St Ann/Northwest Plaza,9/29/2011
3,Crestwood Plaza,Crestwood Plaza,9/29/2011
5,Sun Valley Mall,Sun Valley Mall,9/29/2011
6,B DALTON BOOKSELLER 06             ,B DALTON BOOKSELLER 06             ,9/29/2011
7,B DALTON BOOKSELLER 07             ,B DALTON BOOKSELLER 07             ,9/29/2011
8,B DALTON BOOKSELLER 8              ,B DALTON BOOKSELLER 8              ,9/29/2011
10,Florin Center,Florin Center,9/29/2011
11,Eastland Mall,Columbus / Eastland Mall,9/29/2011
12,B DALTON BOOKSELLER 12             ,B DALTON BOOKSELLER 12             ,9/29/2011
13,Prairie Village S C,Prairie Village S C,9/29/2011
14,Oakland Mall,Oakland Mall,9/29/2011
15,Almeda Mall,Almeda Mall,9/29/2011
16,Serramonte Center,Serramonte Center,9/29/2011
18,B DALTON BOOKSELLER 18             ,B DALTON BOOKSELLER 18             ,9/29/2011
20,Rosedale Center,Rosedale Center,9/29/2011
22,West County Center,West County Center,9/29/2011
24,Glendale Center,Indianapolis / Glendale Center,9/29/2011
25,B DALTON BOOKSELLER 25             ,B DALTON BOOKSELLER 25             ,9/29/2011
26,B DALTON BOOKSELLER 26             ,B DALTON BOOKSELLER 26             ,9/29/2011
27,Boulevard Mall,Boulevard Mall,9/29/2011
31,B DALTON BOOKSELLER 31             ,B DALTON BOOKSELLER 31             ,9/29/2011
32,Franklin Park Mall,Franklin Park Mall,9/29/2011
33,B DALTON BOOKSELLER 33             ,B DALTON BOOKSELLER 33             ,9/29/2011
34,Perimeter Mall,Perimeter Mall,9/29/2011
35,Highland Mall,Austin / Highland Mall,9/29/2011
36,Town East Mall,Mesquite / Town East Mall,9/29/2011
37,B DALTON BOOKSELLER 37             ,B DALTON BOOKSELLER 37             ,9/29/2011
38,B DALTON BOOKSELLER 38             ,B DALTON BOOKSELLER 38             ,9/29/2011
39,B DALTON BOOKSELLER 39             ,B DALTON BOOKSELLER 39             ,9/29/2011
40,Ward Parkway Center,Ward Parkway Center,9/29/2011
41,Livingston Mall,Livingston Mall,9/29/2011
42,Northridge Center,Salinas / Northridge Center,9/29/2011
43,Gateway Mall,Lincoln / Gateway Mall,9/29/2011
44,Northwoods Mall,Northwoods Mall,9/29/2011
45,Apache Mall,Apache Mall,9/29/2011
46,Northtown,Northtown,9/29/2011
47,B DALTON BOOKSELLER 47             ,B DALTON BOOKSELLER 47             ,9/29/2011
48,Asheville Mall,Asheville Mall,9/29/2011
49,West Acres Shopping Ctr,West Acres Shopping Ctr,9/29/2011
50,B DALTON BOOKSELLER 50             ,B DALTON BOOKSELLER 50             ,9/29/2011
51,Brookdale Center,Brookdale Center,9/29/2011
52,Crabtree Valley Mall,Crabtree Valley Mall,9/29/2011
53,B DALTON BOOKSELLER 53             ,B DALTON BOOKSELLER 53             ,9/29/2011
55,Springfield Mall,Springfield Mall,9/29/2011
57,B DALTON BOOKSELLER 57             ,B DALTON BOOKSELLER 57             ,9/29/2011
58,Yakima Mall,Yakima Mall,9/29/2011
59,Tyrone Square,Tyrone Square,9/29/2011
60,Southwyck Center,Southwyck Center,9/29/2011
61,B DALTON BOOKSELLER 61             ,B DALTON BOOKSELLER 61             ,9/29/2011
62,Topanga Plaza,Topanga Plaza,9/29/2011
63,Inland Center,Inland Center,9/29/2011
64,B DALTON BOOKSELLER #64            ,B DALTON BOOKSELLER #64            ,9/29/2011
65,Valley Plaza,Valley Plaza,9/29/2011
66,Mission Valley Center,Mission Valley Center,9/29/2011
67,B DALTON BOOKSELLER #67            ,B DALTON BOOKSELLER #67            ,9/29/2011
68,Montclair Plaza Lane,Montclair Plaza Lane,9/29/2011
69,Plaza Camino Real,Plaza Camino Real,9/29/2011
70,The Esplanade,The Esplanade,9/29/2011
71,Fresno Fashion Fair,Fresno Fashion Fair,9/29/2011
72,Galleria At Tyler,Riverside / Galleria At Tyler,9/29/2011
73,B DALTON BOOKSELLER #73            ,B DALTON BOOKSELLER #73            ,9/29/2011
74,Del Amo Fashion Square,Del Amo Fashion Square,9/29/2011
75,B DALTON BOOKSELLER #75            ,B DALTON BOOKSELLER #75            ,9/29/2011
76,Lakewood Center,Lakewood Center,9/29/2011
77,B DALTON BOOKSELLER #77            ,B DALTON BOOKSELLER #77            ,9/29/2011
79,B DALTON BOOKSELLER #79            ,B DALTON BOOKSELLER #79            ,9/29/2011
80,Lloyd Center,Lloyd Center,9/29/2011
81,Broadway Mall,Hicksville / Broadway Mall,9/29/2011
82,B DALTON BOOKSELLER 82             ,B DALTON BOOKSELLER 82             ,9/29/2011
83,B DALTON BOOKSELLER 83             ,B DALTON BOOKSELLER 83             ,9/29/2011
84,Exton Square Mall,Exton Square Mall,9/29/2011
85,Security Square,Security Square,9/29/2011
88,Upper Valley Mall,Upper Valley Mall,9/29/2011
89,Woodville Mall,Woodville Mall,9/29/2011
90,B DALTON BOOKSELLER 90             ,B DALTON BOOKSELLER 90             ,9/29/2011
91,Greenwood Park Mall,Greenwood Park Mall,9/29/2011
94,Lindale Plaza,Lindale Plaza,9/29/2011
95,Memorial City Mall,Memorial City Mall,9/29/2011
96,B DALTON BOOKSELLER 96             ,B DALTON BOOKSELLER 96             ,9/29/2011
97,B DALTON BOOKSELLER 97             ,B DALTON BOOKSELLER 97             ,9/29/2011
98,Valley View Center,Valley View Center,9/29/2011
99,INVENTOR CONTROL                   ,INVENTOR CONTROL                   ,9/29/2011
101,Metro Center,Metro Center,9/29/2011
102,B DALTON BOOKSELLER #102           ,B DALTON BOOKSELLER #102           ,9/29/2011
103,Northwoods Mall,Northwoods Mall,9/29/2011
104,Lincoln Mall,Lincoln Mall,9/29/2011
105,B DALTON BOOKSELLER 105            ,B DALTON BOOKSELLER 105            ,9/29/2011
106,B DALTON BOOKSELLER 106            ,B DALTON BOOKSELLER 106            ,9/29/2011
107,B DALTON BOOKSELLER 107            ,B DALTON BOOKSELLER 107            ,9/29/2011
109,B DALTON BOOKSELLER 109            ,B DALTON BOOKSELLER 109            ,9/29/2011
110,Washington Square,Tigard / Washington Square,9/29/2011
112,B DALTON BOOKSELLER #112           ,B DALTON BOOKSELLER #112           ,9/29/2011
113,County East Mall,County East Mall,9/29/2011
114,B DALTON BOOKSELLER #114           ,B DALTON BOOKSELLER #114           ,9/29/2011
